name;wkn;country;sector;dy;cydi;month
American Express;850226;USA;Banking;1,37;17;Feb, May, Aug, Nov
Chevron;852552;USA;Energy;3,78;34;Mar, Jun, Sep, Dec
Diageo;851247;UK;Beverages;1,97;35;Apr, Oct
Fresenius;578560;Germany;Health;3,38;30;Jun
Linde;A2DSYC;Irland;Chemicals;1,58;29;Mar, Jun, Sep, Dec
McDonald's;856958;USA;Food;2,13;46;Mar, Jun, Sep, Dec
Nike;866993;USA;Clothing;1,09;19;Apr, Jul, Oct, Dec
Oracle;871460;USA;Technology;1,69;12;Jan, Apr, Jul, Oct
Procter & Gamble;852062;USA;Household;2,51;66;Feb, May, Aug, Nov
Realty Income;899744;USA;Real Estate;4,04;27;Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
