name;wkn;country;sector;dy28072022;cydi;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
American Express;850226;USA;Banking;1,37;17;0;1;0;0;1;0;0;1;0;0;1;0
Chevron;852552;USA;Energy;3,78;34;0;0;1;0;0;1;0;0;1;0;0;1
Diageo;851247;UK;Beverages;1,97;35;0;0;0;1;0;0;0;0;0;1;0;0
Fresenius;578560;Germany;Health;3,38;30;0;0;0;0;0;1;0;0;0;0;0;0
Linde;A2DSYC;Irland;Chemicals;1,58;29;0;0;1;0;0;1;0;0;1;0;0;1
McDonald's;856958;USA;Food;2,13;46;0;0;1;0;0;1;0;0;1;0;0;1
Nike;866993;USA;Clothing;1,09;19;0;0;0;1;0;0;1;0;0;1;0;1
Oracle;871460;USA;Technology;1,69;12;1;0;0;1;0;0;1;0;0;1;0;0
Procter & Gamble;852062;USA;Household;2,51;66;0;1;0;0;1;0;0;1;0;0;1;0
Realty Income;899744;USA;Real Estate;4,04;27;1;1;1;1;1;1;1;1;1;1;1;1
